Error,Name,Date,Field,Count
could not convert string to float: ,COCA-COLA CO,1993-1,data53,1
could not convert string to float: ,COCA-COLA CO,1993-2,data53,1
could not convert string to float: ,COCA-COLA CO,1993-3,data53,1
could not convert string to float: ,COCA-COLA CO,1993-4,data53,1
could not convert string to float: ,COCA-COLA CO,1994-1,data53,1
could not convert string to float: ,COCA-COLA CO,1994-2,data53,1
could not convert string to float: ,COCA-COLA CO,1994-3,data53,1
could not convert string to float: ,COCA-COLA CO,1994-4,data53,1
could not convert string to float: ,COCA-COLA CO,1995-1,data53,1
could not convert string to float: ,COCA-COLA CO,1995-2,data53,1
could not convert string to float: ,COCA-COLA CO,1995-3,data53,1
could not convert string to float: ,COCA-COLA CO,1995-4,data53,1
could not convert string to float: ,COCA-COLA CO,1996-1,data53,1
could not convert string to float: ,COCA-COLA CO,1996-1,data5,1
could not convert string to float: ,COCA-COLA CO,1996-1,data5,1
could not convert string to float: ,COCA-COLA CO,1996-1,data5,1
could not convert string to float: ,COCA-COLA CO,1996-1,data5,1
could not convert string to float: ,COCA-COLA CO,1996-1,data5,1
could not convert string to float: ,COCA-COLA CO,1996-1,data5,1
could not convert string to float: ,COCA-COLA CO,1996-2,data53,1
could not convert string to float: ,COCA-COLA CO,1996-2,data5,1
could not convert string to float: ,COCA-COLA CO,1996-2,data5,1
could not convert string to float: ,COCA-COLA CO,1996-2,data5,1
could not convert string to float: ,COCA-COLA CO,1996-2,data5,1
could not convert string to float: ,COCA-COLA CO,1996-2,data5,1
could not convert string to float: ,COCA-COLA CO,1996-2,data5,1
could not convert string to float: ,COCA-COLA CO,1996-3,data53,1
could not convert string to float: ,COCA-COLA CO,1996-3,data5,1
could not convert string to float: ,COCA-COLA CO,1996-3,data5,1
could not convert string to float: ,COCA-COLA CO,1996-3,data5,1
could not convert string to float: ,COCA-COLA CO,1996-3,data5,1
could not convert string to float: ,COCA-COLA CO,1996-3,data5,1
could not convert string to float: ,COCA-COLA CO,1996-3,data5,1
could not convert string to float: ,COCA-COLA CO,1996-4,data53,1
could not convert string to float: ,COCA-COLA CO,1996-4,data5,1
could not convert string to float: ,COCA-COLA CO,1996-4,data5,1
could not convert string to float: ,COCA-COLA CO,1996-4,data5,1
