name,qrtr,date,industry,EV/EBITDA,ROIC,Operating Margins,Leverage,Net Income,Earnings Per Share,Free Cash Flow,Revenue,EV/EBITDA_avg_8,EV/EBITDA_avg_4,EV/EBITDA_stdev_8,EV/EBITDA_stdev_4,EV/EBITDA_grth_8,EV/EBITDA_grth_4,ROIC_avg_8,ROIC_avg_4,ROIC_stdev_8,ROIC_stdev_4,ROIC_grth_8,ROIC_grth_4,Operating Margins_avg_8,Operating Margins_avg_4,Operating Margins_stdev_8,Operating Margins_stdev_4,Operating Margins_grth_8,Operating Margins_grth_4,Leverage_avg_8,Leverage_avg_4,Leverage_stdev_8,Leverage_stdev_4,Leverage_grth_8,Leverage_grth_4,Net Income_avg_8,Net Income_avg_4,Net Income_stdev_8,Net Income_stdev_4,Net Income_grth_8,Net Income_grth_4,Earnings Per Share_avg_8,Earnings Per Share_avg_4,Earnings Per Share_stdev_8,Earnings Per Share_stdev_4,Earnings Per Share_grth_8,Earnings Per Share_grth_4,Free Cash Flow_avg_8,Free Cash Flow_avg_4,Free Cash Flow_stdev_8,Free Cash Flow_stdev_4,Free Cash Flow_grth_8,Free Cash Flow_grth_4,Revenue_avg_8,Revenue_avg_4,Revenue_stdev_8,Revenue_stdev_4,Revenue_grth_8,Revenue_grth_4,fwd_rtn_8,fwd_rtn_1,fwd_rtn_2,fwd_rtn_4
COCA-COLA CO,1994-4,1995-01-26,BEVERAGES,68.64964363539553,0.08221568544716966,0.21558376898182724,2.6500477554918818,567.0,0.439999998,-22.978260869565247,4017.0,63.322622480874344,59.25244473052366,9.911252863673134,9.479487922768971,-0.055004571431117144,0.10906303967495501,0.08594820231327199,0.08871738570025205,0.011706400025317885,0.011970602023618701,0.06051736354363313,0.1270161164096668,0.22704585877028635,0.2291223083577582,0.01362724918109358,0.01302359420543229,-0.015431044241792202,-0.08433413063865036,2.630976593916037,2.5711816803171526,0.09922372961621506,0.06590889236541428,-0.023466629220729618,0.0381764949777228,592.75,638.5,112.75352386004236,112.5892238774801,0.13542487209571274,0.11942185294315455,0.45624999712500003,0.4949999975,0.09022787721533701,0.08962885595610534,0.15873733769319465,0.1355080974099745,361.88649286885544,410.3238240788002,362.9485513793534,395.7752913006339,(-1.0329659419141008+0.14443322860460048j),(-1.005164319342309-0.008944863487389912j),3766.125,4043.0,499.1714384858172,497.4206804439612,0.16911242293546835,0.2729082337151407,0.626555209439831,1.02029489901086,1.0595052686043465,1.1167447553250383
COCA-COLA CO,1995-1,1995-04-19,BEVERAGES,74.36249166329625,0.08425866536733297,0.2280747275557862,2.7212699649396184,638.0,0.5,865.3651987110634,3854.0,63.14365183939912,61.962679194906535,9.663712230126453,12.251378377422652,0.17720214901750286,0.8691827559271517,0.08720778499761947,0.09099117305509928,0.010763677892242446,0.009043935434459098,-0.09095150792932738,-0.2033964708078717,0.22786377301318894,0.22856342461424653,0.013444122654345657,0.013003573923476737,-0.04222415147692504,-0.09806008216384632,2.6258236282765486,2.6073442712198314,0.09224281734906163,0.10049533413930806,-0.01263991681259935,0.07968235817355906,615.75,667.75,98.23986679842064,83.26814116655501,-0.03415122305143503,-0.20530228531081984,0.476249996625,0.519999996,0.07763236695891133,0.06480740029760174,-0.022162536215760475,-0.198031428238314,388.86545063456765,449.3585448091976,394.0718985919958,440.27997115421715,0.24170461067265547,0.1472191637911231,3865.875,4168.5,408.490054958502,281.3781559870394,-0.006611498662048576,-0.14697350295874223,0.685581413646103,1.03843042793951,1.0579140933001412,1.1794726350534845
COCA-COLA CO,1995-2,1995-07-20,BEVERAGES,60.8470450303532,0.11428742477902057,0.2532414910858995,2.8591655654143855,898.0,0.709999979,1163.812883435583,4936.0,63.762791932154,65.54509912290332,9.284091740342054,7.340318002252309,-0.01699603673631056,0.05815809942368344,0.08904864578235769,0.09458127597714802,0.013962212045976462,0.014795146227784743,0.17449551456726597,0.23485449168532102,0.2287738965623016,0.23026624326319722,0.015000578027397694,0.016180905946922865,0.07029577794744757,0.1765835720663671,2.6354034479552255,2.6798331318985813,0.11257980554892438,0.15409861321865903,0.05680030816962378,0.20315325981803167,643.25,702.75,140.04973606340204,142.32679532212714,0.2712836789360056,0.3729585900641186,0.49999999637500003,0.54999999725,0.11364102882070715,0.11575835998607985,0.2976842923845262,0.40559708946482864,460.2831324925869,545.14555067261,478.8875316690868,561.4029701080128,2.0081448375064266,11.565335099526914,3995.5,4317.0,557.7631345703248,485.8895622121005,0.19216427794195723,0.14443352196827575,0.6401544943112467,1.0187626102205916,1.0540247306142154,0.69690998948943
COCA-COLA CO,1995-3,1995-10-19,BEVERAGES,74.53851799579832,0.10001116736152472,0.21899897854954034,2.8657679893677614,802.0,0.639999986,391.0821917808221,4895.0,65.2426025168247,69.59942458121083,10.00591694589649,6.444317482189815,-0.004907319830986245,0.11598054117763223,0.09076880513878528,0.09519323573876198,0.01440870684353428,0.015008688161698095,0.1996932604702346,0.29854923121377763,0.22804185237506963,0.2289747415432633,0.01535777212663055,0.01701488712853888,0.031213985853507653,0.02117781660998741,2.669164054992907,2.7740628188034115,0.13684787077363725,0.10617460012673262,0.05202421575548577,0.10998327774235017,669.75,726.25,148.34587961921963,150.9798551683855,0.36375469282913664,0.5877730000231678,0.5237499961250001,0.57249999075,0.12129508314878906,0.12419741390893277,0.3892714550110188,0.6480474817534365,487.99599267208623,599.3205032644757,465.8866495216198,522.8289629374751,1.3564159554724844,49.76959176763118,4153.75,4425.5,615.5289827225267,569.9488281123724,0.237145484303094,0.3015708668966608,0.556508935793287,1.0346126958722883,1.1149039818291333,0.6309566523959921
COCA-COLA CO,1995-4,1996-01-25,BEVERAGES,93.1247052893969,0.07839238821182071,0.2102469420724671,2.7895029673590503,648.0,0.519999981,128.19243243243227,4333.0,67.48531736261742,75.71818999471117,13.831593644829901,13.258547824528117,0.24434072041984,0.3498369249439748,0.0914773985650884,0.09423741142992474,0.013505590023376264,0.0161862022169146,0.024325952427627584,-0.09173531959392267,0.22838142158684074,0.22764053481592328,0.014861476432348409,0.018554523693723655,-0.050749578603345835,-0.102839734240453,2.6900541510436784,2.808926621770204,0.14136736389269106,0.06786226336298862,0.04640756177157468,0.0335708822568177,692.5,746.5,124.70765814495917,125.83984530611386,0.13275396243760862,0.020953046815155973,0.543749992,0.5924999865,0.10211162495734148,0.09979144333725926,0.16174409647208488,0.05368572863957488,523.7185003343877,637.1131765899752,417.7874033098695,465.13192971229284,-0.6237531403520075,-0.9216178298744221,4273.75,4504.5,529.0816167122584,513.5643419605116,0.15799192487994174,0.1690577670138349,0.5703017202980677,1.077605162083528,0.6611894097430875,0.561054982754288
COCA-COLA CO,1996-1,1996-04-17,BEVERAGES,102.5497118983543,0.08830814961605152,0.24455492424242425,2.8207581227436824,713.0,0.560000002,694.0,4224.0,72.36383712419111,82.76499505347567,18.371529143139448,18.680025649526122,0.5710227624491153,1.005672116054681,0.09312047777360183,0.09524978249210438,0.011946968723296989,0.015464589860130606,-0.0681961466687282,-0.2909615550832573,0.23016200430091466,0.2317605839875828,0.015939807915128102,0.020419107670115157,-0.004355591511249424,-0.04547186616283072,2.720571466220526,2.83379866122122,0.1397236046946753,0.035579403728382315,0.05482569110514102,-0.01787057339580478,716.5,765.25,103.69185117452577,108.70564229453164,-0.034368079015284825,-0.26477952873994215,0.5637499915,0.607499987,0.08399616672376123,0.08460693021260202,-0.02938016184921055,-0.27125947093785885,521.8152108607035,594.2718769122093,416.8552095319894,444.5367451466155,-0.06503134533999388,-0.4980793313720998,4382.75,4597.0,381.21900342379126,370.8323970025632,-0.015621006443215846,-0.1875468166512121,0.5388462924091089,0.6135729792391593,0.565929140696791,0.5812609748381441
COCA-COLA CO,1996-2,1996-07-15,BEVERAGES,90.25441182706223,0.11255065011942267,0.2614453272796065,2.783524258760108,1050.0,0.419999987,941.4165571616295,5286.0,77.83096793777813,90.11683675265294,15.926204754282326,11.637963735324725,0.2834140285135618,0.29057599297139713,0.09469843240217647,0.09481558882720491,0.013682071582982605,0.014760247501143268,0.08508474369096564,0.1705752800508915,0.23203889314960338,0.23381154303600954,0.0187630039072049,0.023478704937345576,0.0918900754497971,0.2664412858342906,2.747360733228116,2.8148883345576508,0.1264743221390317,0.03764445866873675,0.06602989228295253,-0.03808068702156886,753.0,803.25,157.70949785693224,176.19567720766213,0.25257417166631035,0.43225355113487174,0.542499993125,0.534999989,0.09691674994182299,0.0914694862053283,-0.14280812758894657,-0.42971438547558327,541.9091730081656,538.672795343721,434.6114636655872,354.30974809499565,1.6208687535759347,2.2261537109035787,4500.75,4684.5,495.7106731033451,497.23401599917383,0.10182187846283552,0.10789673766954655,0.9206143538385034,0.9223501683508822,0.8485540973384497,0.9185612259342655
COCA-COLA CO,1996-3,1996-10-16,BEVERAGES,153.3498959102564,0.10562020237230392,0.17889908256880735,2.5459502806736167,967.0,0.389999986,487.346318036286,4687.0,89.70955290623914,109.81968123126745,29.201711804241278,29.491546996041247,0.582903353156663,0.9445753023768955,0.09570554165933085,0.0962178475798997,0.014209437798544432,0.015657533202898786,0.1538969786339872,0.4880954880282955,0.22638065529204482,0.2237865690408263,0.026646007500201286,0.03673197784893811,-0.10110338571728295,-0.19368531898291552,2.754498363093763,2.7349339073841143,0.11038937074482053,0.1270425278664969,-0.02263905304287761,-0.11468575157503447,785.375,844.5,172.99540662770707,194.20006865772902,0.3566941474682026,0.7053045766868049,0.522499989875,0.472499989,0.11067971538568944,0.08057088436070903,-0.06660826165984068,-0.3185797771055371,581.0296650860314,562.7388269075869,410.20338680885806,344.064392373102,5.0308049185789585,4.933355926366145,4529.0,4632.5,499.54665161810175,478.4018533966328,0.09214872695432508,0.11038866376958145,0.7895304746688242,0.9199912641156922,1.027091437847636,0.8820081913392979
COCA-COLA CO,1996-4,1997-02-03,BEVERAGES,127.54995450764818,0.08012067376588035,0.23369079535299375,2.625243664717349,762.0,0.310000002,-414.03260869565213,4476.0,97.07209176527073,118.42599353583029,30.528441524349773,27.979873453847468,0.3611336965063747,0.33760479802712373,0.09544366519916968,0.09664991896841461,0.014509701730927438,0.015012220559444851,-0.028365634456514854,-0.12166859636977245,0.22864403358844063,0.22964753236095797,0.02636542745208918,0.03570753060782014,0.01399735922090306,-0.05878914720342521,2.7513978517469466,2.693869081723689,0.11403046865587145,0.1300362757897325,-0.020319268955606096,-0.09133242919352325,809.75,873.0,150.04642138827762,161.33402203709753,0.10681933862964388,0.09266556166392115,0.506249990375,0.41999999425,0.13201054725313247,0.10424330667561706,-0.2390314971514671,-0.5454675532057631,532.1478716077705,427.18256662556587,504.84448044682676,590.731407649219,(-1.1460224109666566+0.639765983920539j),(-1.2511135260753936-0.4349413856303532j),4586.375,4668.25,456.8772693904943,453.241933188005,0.08925734152649989,0.08032615623792672,0.832240551550484,1.1164143377327498,1.0825016682087778,1.0164809828412653
COCA-COLA CO,1997-1,1997-04-14,BEVERAGES,109.71585063912873,0.09686039880751664,0.27597873368777187,2.4857924327609786,987.0,0.389999986,479.6687631027253,4138.0,101.49126163724978,120.21752822102388,29.305792689571287,26.830280406134726,0.40056345481657174,0.29738213190183527,0.09701888187919264,0.0987879812662809,0.013788051568607212,0.014003264412898769,-0.0902090689759788,-0.18141397402492032,0.23463203435493885,0.23750348472229488,0.03121206463582813,0.042827441202999014,0.050358549145622655,0.07479666730500467,2.7219631602246164,2.610127659228013,0.1481929123928201,0.1289352018263054,-0.07685112072087263,-0.14001052790051238,853.375,941.5,143.5727167674973,124.78381305281547,0.055484584743373144,-0.07918905780737229,0.492499988625,0.37749999025000003,0.13833189532786744,0.04716989832863111,-0.28990270165835663,-0.09408576079318642,483.93581715672826,373.5997574012472,486.56238746300335,567.7351425445739,-0.3973942088094031,-0.5930452329015661,4621.875,4646.75,399.2390753492377,482.43920169626904,-0.09585656243391516,-0.27853084229461544,0.63465303152135,0.9696235811581899,0.8587435926713856,0.9270298811289616
